Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,id,Ocup_2000,Ocup_2010,Ocup_2018,xcoord,ycoord,NM_MU,CODMU,COD_1,COD_UF,UF,COD_2,ANO,IVS_2000,IVS_INF_00,IVS_CPH_00,IVS_REN_00,2010_ANO,IVS_2010,IVS_INF_10,IVS_CPH_10,IVS_REN_10,fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter,URB_RURAL,Dens_Dom,Dens_hab
,,,,,,"-1","0","-1",,,F1236,1,0,0,-36.0755027761273,-8.00545842081974,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,562,200ME69498N103858,1KME6949N10385,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,7,9,16,5,40081.9279785156,800.883496785643,1,0,0.000399182394833
,,,,,,"-1","0","-1",,,F1402,1,0,0,-36.066182087803,-8.00760146381967,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,692,200ME69508N103854,1KME6950N10385,5KME6950N10385,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,43,47,90,32,40081.2177734375,800.876439065566,1,0.001,0.002245440757532
,,,,,,"-1","0","-1",,,F1405,1,0,0,-36.0659895140558,-8.00763062767288,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,692,200ME69508N103854,1KME6950N10385,5KME6950N10385,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,43,47,90,32,40081.2177734375,800.876439065566,1,0.001,0.002245440757532
,,,,,,"-1","0","-1",,,F1406,1,0,0,-36.0658396884051,-8.00765412871546,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,692,200ME69508N103854,1KME6950N10385,5KME6950N10385,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,43,47,90,32,40081.2177734375,800.876439065566,1,0.001,0.002245440757532
,,,,,,"-1","0","-1",,,F1407,1,0,0,-36.0656817024305,-8.0076855472396,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,692,200ME69508N103854,1KME6950N10385,5KME6950N10385,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,43,47,90,32,40081.2177734375,800.876439065566,1,0.001,0.002245440757532
,,,,,,"-1","0","-1",,,F1230,1,0,0,-36.0719904184379,-8.00594424245,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,699,200ME69502N103858,1KME6950N10385,5KME6950N10385,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,31,27,58,16,40081.66796875,800.880898077632,1,0,0.001447045568194
,,,,,,"-1","0","-1",,,F1231,1,0,0,-36.0723653183769,-8.00588903298201,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,699,200ME69502N103858,1KME6950N10385,5KME6950N10385,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,31,27,58,16,40081.66796875,800.880898077632,1,0,0.001447045568194
,,,,,,"-1","0","-1",,,F1080,1,0,0,-36.0572904293947,-8.01111270240803,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,909,200ME69518N103850,1KME6951N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,55,59,114,34,40080.5278320313,800.869587957709,1,0.001,0.002844273919689
,,,,,,"-1","0","-1",,,F1081,1,0,0,-36.05729943384,-8.0110602275225,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,909,200ME69518N103850,1KME6951N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,55,59,114,34,40080.5278320313,800.869587957709,1,0.001,0.002844273919689
,,,,,,"-1","0","-1",,,F1084,1,0,0,-36.0573141172654,-8.01074702665763,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,909,200ME69518N103850,1KME6951N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,55,59,114,34,40080.5278320313,800.869587957709,1,0.001,0.002844273919689
,,,,,,"-1","0","-1",,,F1085,1,0,0,-36.0572809717025,-8.01074258148084,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,909,200ME69518N103850,1KME6951N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,55,59,114,34,40080.5278320313,800.869587957709,1,0.001,0.002844273919689
,,,,,,"-1","0","-1",,,F1086,1,0,0,-36.0572483057401,-8.01073638949883,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,909,200ME69518N103850,1KME6951N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,55,59,114,34,40080.5278320313,800.869587957709,1,0.001,0.002844273919689
,,,,,,"-1","0","-1",,,F1087,1,0,0,-36.0572107074358,-8.01072959036091,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,909,200ME69518N103850,1KME6951N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,55,59,114,34,40080.5278320313,800.869587957709,1,0.001,0.002844273919689
,,,,,,"-1","0","-1",,,F1088,1,0,0,-36.0571751357186,-8.01072345922657,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,909,200ME69518N103850,1KME6951N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,55,59,114,34,40080.5278320313,800.869587957709,1,0.001,0.002844273919689
,,,,,,"-1","0","-1",,,F1548,1,0,0,-36.057755758196,-8.01102651229381,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,909,200ME69518N103850,1KME6951N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,55,59,114,34,40080.5278320313,800.869587957709,1,0.001,0.002844273919689
,,,,,,"-1","0","-1",,,F1549,1,0,0,-36.0577269243401,-8.01104205063638,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,909,200ME69518N103850,1KME6951N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,55,59,114,34,40080.5278320313,800.869587957709,1,0.001,0.002844273919689
,,,,,,"-1","0","-1",,,F1083,1,0,0,-36.0573772090998,-8.0108599318672,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,909,200ME69518N103850,1KME6951N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,55,59,114,34,40080.5278320313,800.869587957709,1,0.001,0.002844273919689
