id,Ocup_2000,Ocup_2010,Ocup_2018,xcoord,ycoord,NM_MU,CODMU,COD_1,COD_UF,UF,COD_2,ANO,IVS_2000,IVS_INF_00,IVS_CPH_00,IVS_REN_00,2010_ANO,IVS_2010,IVS_INF_10,IVS_CPH_10,IVS_REN_10,fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter
F1251,"1","0","0",-36.089553670895100,-8.002640158231040,TORITAMA,"2615409",261540.000000000000000,26.000000000000000,Pernambuco,2615409.000000000000000,2000.000000000000000,0.428000000000000,0.069000000000000,0.748000000000000,0.466000000000000,2010.000000000000000,0.362000000000000,0.112000000000000,0.595000000000000,0.379000000000000,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40082.913574218750000,800.893306286295910
F1252,"1","0","0",-36.089614392220803,-8.002582387924750,TORITAMA,"2615409",261540.000000000000000,26.000000000000000,Pernambuco,2615409.000000000000000,2000.000000000000000,0.428000000000000,0.069000000000000,0.748000000000000,0.466000000000000,2010.000000000000000,0.362000000000000,0.112000000000000,0.595000000000000,0.379000000000000,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40082.913574218750000,800.893306286295910
F1253,"1","0","0",-36.089687922797900,-8.002509590103680,TORITAMA,"2615409",261540.000000000000000,26.000000000000000,Pernambuco,2615409.000000000000000,2000.000000000000000,0.428000000000000,0.069000000000000,0.748000000000000,0.466000000000000,2010.000000000000000,0.362000000000000,0.112000000000000,0.595000000000000,0.379000000000000,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40082.913574218750000,800.893306286295910
F1254,"1","0","0",-36.089754098256599,-8.002448466215579,TORITAMA,"2615409",261540.000000000000000,26.000000000000000,Pernambuco,2615409.000000000000000,2000.000000000000000,0.428000000000000,0.069000000000000,0.748000000000000,0.466000000000000,2010.000000000000000,0.362000000000000,0.112000000000000,0.595000000000000,0.379000000000000,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40082.913574218750000,800.893306286295910
F1255,"1","0","0",-36.089860433266601,-8.002333805541030,TORITAMA,"2615409",261540.000000000000000,26.000000000000000,Pernambuco,2615409.000000000000000,2000.000000000000000,0.428000000000000,0.069000000000000,0.748000000000000,0.466000000000000,2010.000000000000000,0.362000000000000,0.112000000000000,0.595000000000000,0.379000000000000,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40082.913574218750000,800.893306286295910
F1264,"1","0","0",-36.093532150264600,-7.995908328796450,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,438,200ME69480N103870,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"5","4","9","5",40083.202148437500000,800.896101541535586
F1263,"1","0","0",-36.093581670639999,-7.995900063218390,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,438,200ME69480N103870,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"5","4","9","5",40083.202148437500000,800.896101541535586
F1265,"1","0","0",-36.093469798984898,-7.995919449215930,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,438,200ME69480N103870,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"5","4","9","5",40083.202148437500000,800.896101541535586
F1237,"1","0","0",-36.077120126243997,-8.005218317970010,TORITAMA,"2615409",261540.000000000000000,26.000000000000000,Pernambuco,2615409.000000000000000,2000.000000000000000,0.428000000000000,0.069000000000000,0.748000000000000,0.466000000000000,2010.000000000000000,0.362000000000000,0.112000000000000,0.595000000000000,0.379000000000000,561,200ME69496N103858,1KME6949N10385,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40082.048828125000000,800.884705196695222
F1233,"1","0","0",-36.075120433838599,-8.005519896687890,TORITAMA,"2615409",261540.000000000000000,26.000000000000000,Pernambuco,2615409.000000000000000,2000.000000000000000,0.428000000000000,0.069000000000000,0.748000000000000,0.466000000000000,2010.000000000000000,0.362000000000000,0.112000000000000,0.595000000000000,0.379000000000000,562,200ME69498N103858,1KME6949N10385,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"7","9","16","5",40081.927978515625000,800.883496785642706
