"","id","Rodovia","SNV","Km","Lado","Tipo","P_constr","N_Pessoas","UN_ID","Ocup_2000","Ocup_2010","Ocup_2018","UN_ORIG_FI","n","distance","feature_x","feature_y","xcoord","ycoord","zcoord","mvalue"
"931","F2886",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3373,1,2.87619159588944,836028.984836992,9059499.63065958,-35.9482957882565,-8.49640861314095,-999999,0
"932","F2887",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3371,1,1.57264458975124,836030.452799223,9059465.16869296,-35.9482800067422,-8.49671978366994,-999999,0
"933","F2887",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3459,1,3.12541168523461,836032.223077556,9059478.32761354,-35.9482648857383,-8.49660080081174,-999999,0
"934","F2888",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3369,1,2.46815723069691,836022.436265079,9059464.05194615,-35.9483526597124,-8.49673044097462,-999999,0
"935","F2892",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3386,1,2.95618424838852,836019.615360556,9059435.41401826,-35.9483762066422,-8.496989311504,-999999,0
"936","F2893",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3386,1,2.71642605032631,836025.26945005,9059435.86857259,-35.9483249404076,-8.49698480348085,-999999,0
"937","F2894",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3391,1,3.3105913219011,836028.869600469,9059432.23934966,-35.9482920173881,-8.49701732798809,-999999,0
"938","F2895",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3389,1,0.415717650191071,836034.737437337,9059439.59097121,-35.9482393048078,-8.49695050753659,-999999,0
"939","F2729",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3277,1,0.618147755586263,833332.525186801,9070151.45698959,-35.9735113543194,-8.40038545477748,-999999,0
"940","F2904",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3396,1,13.0490710535286,836797.768230731,9056964.44511372,-35.9411389169944,-8.51925255064095,-999999,0
"941","F3019",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3397,1,4.21567392308408,836959.015740858,9055839.4632928,-35.9395949733724,-8.52940222985806,-999999,0
"942","F2919",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3219,1,2.85554869502989,836948.823889385,9053698.30066189,-35.9395332113349,-8.54874264155486,-999999,0
"943","F2922",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3523,1,1.96808830311307,836896.064827597,9053585.03294909,-35.9400037790335,-8.54976949963828,-999999,0
"944","F2923",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3222,1,4.0004971285724,836909.642419687,9053575.96357817,-35.9398799215264,-8.54985044244409,-999999,0
"945","F3020",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3228,1,4.00048228740428,836531.541493026,9053092.58846628,-35.9432759936108,-8.55424358527711,-999999,0
"946","F3021",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3401,1,4.90580902049164,837142.167732461,9054322.45358956,-35.9378238350028,-8.54309121581764,-999999,0
"947","F3022",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3498,1,2.41796458560785,835503.502098743,9049624.04563246,-35.9523549091607,-8.5856465732872,-999999,0
"948","F3023",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3205,1,2.32748245588447,833766.030090107,9046566.84395911,-35.9679028026444,-8.6133852847941,-999999,0
"949","F2226",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2819,1,2.74170393714761,836473.879273765,9064092.2350827,-35.9445871583465,-8.45489471049702,-999999,0
"950","F3024",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3232,1,1.04849715127665,835591.694861014,9049656.04689535,-35.9515568706341,-8.58535119233493,-999999,0
"951","F3025",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3505,1,1.65950456047637,835653.170120647,9049762.33139464,-35.9510066539908,-8.58438677300947,-999999,0
"952","F2994",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2951,1,2.61350555577725,836973.22708201,9053617.0895667,-35.9393059192583,-8.54947441423836,-999999,0
"953","F2998",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2950,1,3.59568596962685,837010.838652836,9053720.88293064,-35.9389721185438,-8.54853421900083,-999999,0
"954","F2998",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2944,1,2.41483382245079,837010.325171263,9053737.73906066,-35.9389779937032,-8.54838200594898,-999999,0
"955","F3005",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3528,1,4.09166997425093,837089.438353878,9055386.0833023,-35.9383789365741,-8.53348795986487,-999999,0
"956","F3006",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3531,1,4.00035877060456,837098.698825931,9055415.46570846,-35.9382970265266,-8.53322190473043,-999999,0
"957","F3006",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2942,1,10.8773132077696,837081.015645865,9055415.58384424,-35.9384574855156,-8.53322210532501,-999999,0
"958","F3008",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2938,1,2.91681982272143,837081.756495757,9055494.0142195,-35.938456411006,-8.53251364394117,-999999,0
"959","F3026",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2928,1,4.00052314409842,837014.532763289,9055959.83360215,-35.9390998992561,-8.52831102901521,-999999,0
"960","F3027",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2927,1,4.00052322687079,837012.368427431,9055971.47193706,-35.9391203748047,-8.52820606278164,-999999,0
"961","F3028",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2932,1,5.10368876235282,837009.892279741,9055983.49858175,-35.9391437074988,-8.52809761153475,-999999,0
"962","F3029",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2926,1,1.41228502712999,837008.479168996,9055994.00246632,-35.9391572851352,-8.52800283821222,-999999,0
"963","F2779",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3110,1,0.863347234894391,833428.96166375,9069980.75394861,-35.9726246331654,-8.40192062963907,-999999,0
"964","F2832",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3490,1,2.43721252443491,831982.562867931,9074290.22926135,-35.9860448189544,-8.36309479272195,-999999,0
"965","F2836",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3173,1,1.49996177897174,831986.925322662,9074455.44908532,-35.9860167265021,-8.36160209346518,-999999,0
