cod;id;Ocup_2000;Ocup_2010;Ocup_2018;xcoord;ycoord;NM_MU;CODMU;COD_1;COD_UF;UF;COD_2;ANO;IVS_2000;IVS_INF_00;IVS_CPH_00;IVS_REN_00;IVS_2010;IVS_INF_10;IVS_CPH_10;IVS_REN_10;fid;MASC;FEM;POP;DOM_OCU;area;perimeter;URB_RURAL;Dens_Dom;Dens_hab;MRT;VTN_MED;VTN_MIN;VTN_MAX;IDEX
56;F1513;1;0;0;-36,058246661;-8,009463144;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
57;F1515;1;0;0;-36,0582686686;-8,0094871089;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
58;F1520;1;0;0;-36,058182588;-8,0096820453;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;913;311;325;636;179;40080,6719970703;800,8710058282;1;0,004;0,0158679974;MRT IV;5105,25;1578,52;8631,99;139
59;F1089;1;0;0;-36,057243459;-8,0104852412;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
60;F1090;1;0;0;-36,0572764207;-8,0104917787;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
61;F1091;1;0;0;-36,0573147827;-8,0104992196;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
62;F1092;1;0;0;-36,0573547458;-8,0105072;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
63;F1095;1;0;0;-36,0574582104;-8,0104947436;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
64;F1096;1;0;0;-36,0574759874;-8,0104364331;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
65;F1097;1;0;0;-36,0574910426;-8,0103867477;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
66;F1098;1;0;0;-36,0575014162;-8,0103530313;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
67;F1099;1;0;0;-36,0575104187;-8,0103220954;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
